Data-hora da leitura,Plataforma,ID do post,Artista,Views,Likes,Comentários
2026-08-18 14:00,Instagram,DcBbLtcRjo_,Casa Saturno,25030,1243,164
2026-08-18 14:00,YouTube,9j_c3GytIGU,Fidelisx,482606,12244,
2026-08-18 14:00,YouTube,AF7nZscSvz4,Kaka,9314,463,
2026-08-18 14:00,YouTube,BtOBb0vXQ_g,Russin Oficial,30420,1414,
2026-08-18 14:00,YouTube,115e1DyeI3U,Kysha e Mine,77608,3741,
2026-08-18 14:00,Instagram,Db_p4dgJQYw,Evy Baddie,97384,2034,363
2026-08-18 14:00,Instagram,Db_p4dgJQYw,Casa Saturno,97384,2034,363
2026-08-18 14:00,YouTube,YTgVeVjb0F8,Fidelisx,65242,4057,
2026-08-18 14:00,Instagram,Db_i20dGV7Q,Casa Saturno,19621,976,26
2026-08-18 14:00,YouTube,swAXjXwv9eA,Fidelisx,41711,2819,
2026-08-18 14:00,Instagram,Db_QK6IuGCW,Argentino,59006,3612,124
2026-08-18 14:00,YouTube,chCqJh3BUks,Kysha e Mine,42511,2846,
2026-08-18 14:00,Instagram,Db_H-YFOZ4w,Kysha e Mine,22434,1013,66
2026-08-18 14:00,YouTube,tn72sQytW98,Argentino,41922,2464,
2026-08-18 14:00,Instagram,Db_DDrqu1ss,Argentino,42364,2163,267
2026-08-18 14:00,YouTube,8zSjbXnzPho,Russin Oficial,10318,377,
2026-08-18 14:00,YouTube,zgJw6WBt8Bk,Fidelisx,68558,3558,
2026-08-18 14:00,Instagram,Db8da9nPAU9,Kaka,20435,584,31
2026-08-18 14:00,Instagram,Db-5_4_D6cF,Casa Saturno,30284,2341,163
2026-08-18 14:00,Instagram,Db9fAWvJmIK,Russin Oficial,107385,1372,43
2026-08-18 14:00,Instagram,Db9fAWvJmIK,Kaka,107389,1372,43
2026-08-18 14:00,Instagram,Db9azW6xmDU,Mine,107804,4253,316
2026-08-18 14:00,YouTube,-IlnPTIBLyA,Russin Oficial,47829,1029,
2026-08-18 14:00,Instagram,Db9M4FVOPCm,Kysha,103233,5467,383
2026-08-18 14:00,YouTube,tSVFlvaEfvQ,Kysha e Mine,107372,4912,
2026-08-18 14:00,YouTube,XdR28ULu58Y,Kysha e Mine,50202,2886,
2026-08-18 14:00,YouTube,TNvoVO_a-p8,Kysha e Mine,21048,1327,
2026-08-18 14:00,YouTube,VZIPYancGp8,Fidelisx,56028,3599,
2026-08-18 14:00,YouTube,E2_aThmkOD0,Russin Oficial,10705,819,
2026-08-18 14:00,Instagram,Db9FGM-PjLj,Russin Oficial,25294,581,8
2026-08-18 14:00,Instagram,Db88w9_p7bJ,Casa Saturno,15435,861,77
2026-08-18 14:00,YouTube,1WVlihGT2Cs,Argentino,69411,3776,
2026-08-18 14:00,YouTube,Bw0OFEBtnpI,Kaka,26059,1266,
2026-08-18 14:00,YouTube,kRyvx8gmAJ8,Kaka,15702,835,
2026-08-18 14:00,Instagram,Db8jjYXO02Y,Argentino,51492,2500,130
2026-08-18 14:00,YouTube,T_SKcOmvji4,Kaka,2697,222,
2026-08-18 14:00,YouTube,bZQr8j3QBp0,Kaka,7995,662,
2026-08-18 14:00,YouTube,PYdqT2C6MEg,Russin Oficial,5232,577,
2026-08-18 14:00,Instagram,Db8b7Oavoso,Kaka,9693,800,114
2026-08-18 14:00,Instagram,Db8O3R6xeEX,Casa Saturno,15980,752,39
2026-08-18 14:00,YouTube,Xxla6mSmm70,Evy Baddie,16474,2248,
2026-08-18 14:00,Instagram,Db6jsPUJKnP,Evy Baddie,116130,4719,2577
2026-08-18 14:00,YouTube,0UKxIh5Ir0g,Evy Baddie,27252,3210,
2026-08-18 14:00,Instagram,Db6ErGEM6Q-,Kysha e Mine,47824,1417,59
2026-08-18 14:00,Instagram,Db6C6SDuLI4,Kysha,167535,8295,314
2026-08-18 14:00,Instagram,Db529uJvPnA,Kaka,31811,2491,99
2026-08-18 14:00,YouTube,O1cKMaCuX04,Evy Baddie,19386,2909,
2026-08-18 14:00,Instagram,Db4RnTupIcf,Russin Oficial,258582,13271,237
2026-08-18 14:00,Instagram,Db4DEtxOC-E,Kysha,50688,2768,450
2026-08-18 14:00,Instagram,Db3kgG5J19Z,Evy Baddie,29401,1881,360
2026-08-18 14:00,Instagram,Db3SYJWullk,Kysha e Mine,41791,2115,48
2026-08-18 14:00,Instagram,Db3SL0JvOVr,Kaka,11367,572,38
2026-08-18 14:00,Instagram,Db1rhq5pJI0,Kaka,43238,6533,47
2026-08-18 14:00,Instagram,Db1Wu80Bz6a,Russin Oficial,31699,692,222
2026-08-18 14:00,Instagram,Db1WfvtJwaQ,Kaka,68091,4587,46
2026-08-18 14:00,YouTube,slDejUD38Y4,Evy Baddie,42583,3192,
2026-08-18 14:00,Instagram,Db0-wCMpfqL,Evy Baddie,55256,3050,86
2026-08-18 14:00,Instagram,Db0655sx9UO,Fidelisx,287094,15793,312
2026-08-18 14:00,Instagram,Db0tQiJPeNe,Kaka,80189,7762,178
2026-08-18 14:00,YouTube,Y-8nCpppQH8,Kaka,7100,506,
2026-08-18 14:00,Instagram,DbzQdzNRbpN,Russin Oficial,29099,571,16
2026-08-18 14:00,Instagram,Dby_Khwu3n2,Argentino,221418,13361,746
2026-08-18 14:00,Instagram,Dby_Khwu3n2,Kysha,221429,13361,746
2026-08-18 14:00,Instagram,DbyxvHRpLS5,Kaka,32159,2026,92
2026-08-18 14:00,YouTube,qUmMPXvEZ7I,Evy Baddie,29736,2840,
2026-08-18 14:00,Instagram,DbyIuasBh21,Evy Baddie,36224,2825,93
2026-08-18 14:00,Instagram,DbyH0nkPpjs,Kaka,105442,2727,229
2026-08-18 14:00,Instagram,Dbx7y-2MAQ1,Kysha e Mine,63969,2342,90
2026-08-18 14:00,Instagram,Dbwf0FdJzWp,Russin Oficial,16529,605,4
2026-08-18 14:00,Instagram,DbrJMzQhav8,Evy Baddie,34168,1575,52
2026-08-18 14:00,Instagram,DbwNIejB1ei,Fidelisx,44553,1999,226
2026-08-18 14:00,Instagram,DbvklOYxetS,Russin Oficial,50474,2540,24
2026-08-18 14:00,Instagram,DbvaX5zuq7t,Kysha e Mine,63799,2712,101
2026-08-18 14:00,Instagram,Dbt2o2wpMYV,Russin Oficial,82496,1780,46
2026-08-18 14:00,Instagram,DbtosA8hv6V,Fidelisx,34053,1819,174
2026-08-18 14:00,Instagram,DbtoWA0B2Hr,Evy Baddie,12991,1258,93
2026-08-18 14:00,Instagram,DbtAhMXuATv,Kysha,94006,4281,210
2026-08-18 14:00,Instagram,DbrR1oYJliS,Russin Oficial,54073,765,86
2026-08-18 14:00,Instagram,DbrOFEbuN3B,Mine,117914,4593,138
2026-08-18 14:00,Instagram,DbrOFEbuN3B,Kysha,117914,4593,138
2026-08-18 14:00,Instagram,DbrG4hmlXN6,Evy Baddie,,5155,606
2026-08-18 14:00,Instagram,DbqnLP1xnSG,Kysha e Mine,168384,5188,234
2026-08-18 14:00,Instagram,DbqbI8eOoOH,Kysha e Mine,79192,3040,79
2026-08-18 14:00,Instagram,DboiuPQJRxQ,Russin Oficial,12974,603,24
2026-08-18 14:00,Instagram,DbofiRfBXI-,Fidelisx,68194,2824,357
2026-08-18 14:00,Instagram,Dbn3mgvFhfc,Kysha e Mine,,4514,236
2026-08-18 14:00,Instagram,Dbn3mgvFhfc,Mine,,4514,236
2026-08-18 14:00,Instagram,Dbn3mgvFhfc,Kysha,,4514,236
2026-08-18 14:00,Instagram,Dbn1kkYMnqL,Kysha e Mine,155894,10089,115
2026-08-18 14:00,Instagram,DbmTWiCpVfT,Russin Oficial,31451,1144,13
2026-08-18 14:00,Instagram,DbmDSeAFa5e,Kysha e Mine,,4831,139
2026-08-18 14:00,Instagram,Dbl6tKfBnkb,Fidelisx,145484,5211,865
2026-08-18 14:00,Instagram,Dbl58DZBXIw,Evy Baddie,141703,5813,71
2026-08-18 14:00,Instagram,Dbl58DZBXIw,Russin Oficial,141704,5813,71
2026-08-18 14:00,Instagram,Dbl5x7juD7g,Kysha e Mine,80811,2034,72
2026-08-18 14:00,Instagram,Dbl5x7juD7g,Mine,80811,2034,72
2026-08-18 14:00,Instagram,Dbl5x7juD7g,Kysha,80811,2034,72
2026-08-18 14:00,Instagram,DblrUWBONv3,Kysha e Mine,64032,3965,354
2026-08-18 14:00,Instagram,DbleDdEuiyR,Argentino,,3,470
2026-08-18 14:00,Instagram,DblXIG8RXuD,Russin Oficial,24112,594,13
2026-08-18 14:00,Instagram,DbjVeN-pkI3,Russin Oficial,44387,2174,31
2026-08-18 14:00,Instagram,DbhMlwrp090,Russin Oficial,11707,248,8
2026-08-18 14:00,Instagram,DbhHO6tOBd_,Kysha,84440,5580,639
2026-08-18 14:00,Instagram,Dbg3MuyJvdv,Russin Oficial,62223,2451,18
2026-08-18 14:00,YouTube,iRAuYyaleyk,Argentino,35145,2480,
2026-08-18 14:00,Instagram,DbgfAfNwej0,Argentino,43340,2690,76
2026-08-18 14:00,Instagram,DbgPpHPOFTF,Kysha e Mine,152401,2917,120
2026-08-18 14:00,Instagram,DbgPpHPOFTF,Mine,152401,2918,120
2026-08-18 14:00,Instagram,DbgPpHPOFTF,Kysha,152401,2918,120
2026-08-18 14:00,Instagram,DbgHL_nB5Bb,Evy Baddie,32496,1526,67
2026-08-18 14:00,Instagram,DbeLm8yhK-d,Evy Baddie,150558,5839,152
2026-08-18 14:00,Instagram,DbeLm8yhK-d,Russin Oficial,150558,5839,152
2026-08-18 14:00,Instagram,DbeLWFlOAln,Kysha e Mine,166005,2714,92
2026-08-18 14:00,Instagram,DbeLWFlOAln,Mine,166005,2714,92
2026-08-18 14:00,Instagram,DbeLWFlOAln,Kysha,166005,2714,92
2026-08-18 14:00,YouTube,H0RS59g33z4,Argentino,51325,2767,
2026-08-18 14:00,Instagram,DbeAjxhOIgG,Argentino,48363,1204,60
2026-08-18 14:00,Instagram,Dbdin3SOO6i,Kysha e Mine,,876,38
2026-08-18 14:00,Instagram,DbcJDjlRqLF,Russin Oficial,16218,427,11
2026-08-18 14:00,Instagram,DbbN7CakTRK,Mine,,10834,437
2026-08-18 14:00,Instagram,Dba9iQQhlKE,Kysha e Mine,28869,1868,62
2026-08-18 14:00,Instagram,Dba9jEIBTm1,Evy Baddie,57746,1670,65
2026-08-18 14:00,Instagram,Dba9jEIBTm1,Russin Oficial,57746,1670,65
